level,parent,name,url_name,tag_slug,rank,active,location
1,,Stories,stories,stories,1,no,
2,stories,NZ Health Crisis,nz-health-crisis,nz-health-crisis,2,no,
1,,Events,events,events,2,no,
2,events,Community Events,community-events,community-events,1,no,
2,events,Workshops,workshops,workshops,2,no,
2,events,Sports,sports,sports,3,no,
2,events,Live Music,music-events,music-events,4,no,
1,,Gallery,gallery,gallery,3,yes,
2,gallery,Photo,photo,photo,1,yes,
3,photo,Local Legends,local-legends,local-legends,1,no,
3,photo,Scenics,scenics,scenics,2,no,
3,photo,Photo Essays,photo-essays,photo-essays,1,yes,
2,gallery,Music,music,music,2,no,
2,gallery,Film & TV,stream,stream,3,no,
2,gallery,Street,street,street,4,no,
2,gallery,Handmade,handmade,handmade,5,no,
2,gallery,Fine Art,fine-art,fine-art,6,no,
1,,Trade & Exchange,marketplace,marketplace,4,no,
2,marketplace,Freebies,freebies,freebies,1,no,
2,marketplace,For Sale,for-sale,for-sale,2,no,
2,marketplace,Motors,motors,motors,3,no,
2,marketplace,Property,property,property,4,no,
3,property,Residential,residential,residential,1,no,
3,property,Commercial,commercial,commercial,2,no,
3,property,For Sale,property-for-sale,property-for-sale,3,no,
4,residential,Roommates,roommates,roommates,3,no,
4,residential,Rentals,rentals,rentals,2,no,
5,rentals,For Sale,residential-for-sale,residential-for-sale,1,no,
1,,Business Directory,directory,directory,5,no,
1,,Local Knowledge,learn,learn,6,no,
1,,Foodswap,foodswap,foodswap,7,no,
1,,Jobs,jobs,jobs,8,no,