geoname_id,name,parent_id,level,feature_code,country_code
2077456,Australia,,1,PCLI,AU
2155400,New South Wales,2077456,2,ADM1,AU
12047275,Inner West,2155400,3,ADM2,AU
2147714,Sydney,12047275,4,PPLA,AU
8348154,Petersham,2147714,5,PPLX,AU
2186224,Aotearoa,,1,,NZ
2193734,Auckland,2186224,2,ADM1,NZ
2182560,Bay of Plenty,2186224,2,ADM1,NZ
2192628,Canterbury,2186224,2,ADM1,NZ
4033013,Chatham Islands,2186224,2,ADM1,NZ
2190767,Gisborne,2186224,2,ADM1,NZ
2190146,Hawke's Bay,2186224,2,ADM1,NZ
2179671,Manawatū-Whanganui,2186224,2,ADM1,NZ
2187304,Marlborough,2186224,2,ADM1,NZ
6612108,Nelson,2186224,2,ADM1,NZ
2185978,Northland,2186224,2,ADM1,NZ
6612109,Otago,2186224,2,ADM1,NZ
2182501,Southland,2186224,2,ADM1,NZ
2181872,Taranaki,2186224,2,ADM1,NZ
2181818,Tasman,2186224,2,ADM1,NZ
2180293,Waikato,2186224,2,ADM1,NZ
2179538,Greater Wellington Region,2186224,2,ADM1,NZ
6612113,West Coast,2186224,2,ADM1,NZ
2193732,Auckland,2193734,3,ADM1,NZ
2188943,Kawerau District,2182560,3,ADM2,NZ
2185506,Opotiki District,2182560,3,ADM2,NZ
2183229,Rotorua District,2182560,3,ADM2,NZ
7910066,Tauranga City,2182560,3,ADM2,NZ
7910073,Western Bay of Plenty,2182560,3,ADM2,NZ
2179374,Whakatane District,2182560,3,ADM2,NZ
2193772,Ashburton District,2192628,3,ADM2,NZ
7910036,Christchurch City,2192628,3,ADM2,NZ
7910044,Hurunui District,2192628,3,ADM2,NZ
7910046,Kaikoura District,2192628,3,ADM2,NZ
7910050,Mackenzie District,2192628,3,ADM2,NZ
7910060,Selwyn District,2192628,3,ADM2,NZ
2181134,Timaru District,2192628,3,ADM2,NZ
7910069,Waimakariri District,2192628,3,ADM2,NZ
2180177,Waimate District,2192628,3,ADM2,NZ
11694798,Waitaki District,2192628,3,ADM2,NZ
2190766,Gisborne,2190767,3,ADM2,NZ
7910034,Central Hawke's Bay,2190146,3,ADM2,NZ
2190223,Hastings District,2190146,3,ADM2,NZ
7910054,Napier City,2190146,3,ADM2,NZ
2179921,Wairoa District,2190146,3,ADM2,NZ
7910043,Horowhenua District,2179671,3,ADM2,NZ
7910051,Manawatu District,2179671,3,ADM2,NZ
7910056,Palmerston North City,2179671,3,ADM2,NZ
2183713,Rangitikei District,2179671,3,ADM2,NZ
7910059,Ruapehu District,2179671,3,ADM2,NZ
11694796,Tararua District,2179671,3,ADM2,NZ
7910071,Whanganui,2179671,3,ADM2,NZ
7910052,Marlborough District,2187304,3,ADM2,NZ
7910055,Nelson City,6612108,3,ADM2,NZ
7910039,Far North,2185978,3,ADM2,NZ
7910047,Kaipara District,2185978,3,ADM2,NZ
2179291,Whangārei,2185978,3,ADM2,NZ
7910035,Central Otago,6612109,3,ADM2,NZ
7910037,Clutha District,6612109,3,ADM2,NZ
7910038,Dunedin,6612109,3,ADM2,NZ
7910058,Queenstown-Lakes,6612109,3,ADM2,NZ
2190612,Gore District,2182501,3,ADM2,NZ
7910045,Invercargill,2182501,3,ADM2,NZ
7910061,Southland District,2182501,3,ADM2,NZ
2186240,New Plymouth,2181872,3,ADM2,NZ
7910062,South Taranaki,2181872,3,ADM2,NZ
2182236,Stratford,2181872,3,ADM2,NZ
7910041,Hamilton City,2180293,3,ADM2,NZ
7910042,Hauraki District,2180293,3,ADM2,NZ
7910053,Matamata-Piako District,2180293,3,ADM2,NZ
2185244,Otorohanga District,2180293,3,ADM2,NZ
7910063,South Waikato District,2180293,3,ADM2,NZ
2181743,Taupo District,2180293,3,ADM2,NZ
2181244,Thames-Coromandel,2180293,3,ADM2,NZ
7910068,Waikato District,2180293,3,ADM2,NZ
7910070,Waipa District,2180293,3,ADM2,NZ
2179779,Waitomo District,2180293,3,ADM2,NZ
2192570,Carterton,2179538,3,ADM2,NZ
7910048,Kapiti Coast,2179538,3,ADM2,NZ
7910049,Lower Hutt City,2179538,3,ADM2,NZ
2187238,Masterton,2179538,3,ADM2,NZ
7910057,Porirua City,2179538,3,ADM2,NZ
7910064,South Wairarapa,2179538,3,ADM2,NZ
7910067,Upper Hutt City,2179538,3,ADM2,NZ
7910072,Pōneke AKA Wellington,2179538,3,ADM2,NZ
7910033,Buller District,6612113,3,ADM2,NZ
7910040,Grey District,6612113,3,ADM2,NZ
2179466,Westland District,6612113,3,ADM2,NZ
7910065,Tasman District,2181818,3,ADM2,NZ