level,parent,name,url_name,tag_slug,group,label,desc,rank
1,,Aotearoa,2186224,2186224,nzl,Country,,1
2,2186224,Auckland,2193734,2193734,nzl,Region,,1
2,2186224,Bay of Plenty,2182560,2182560,nzl,Region,,2
2,2186224,Canterbury,2192628,2192628,nzl,Region,,3
2,2186224,Chatham Islands,4033013,4033013,nzl,Region,,4
2,2186224,Gisborne,2190767,2190767,nzl,Region,,5
2,2186224,Hawke's Bay,2190146,2190146,nzl,Region,,6
2,2186224,Manawatū-Whanganui,2179671,2179671,nzl,Region,,7
2,2186224,Marlborough,2187304,2187304,nzl,Region,,8
2,2186224,Nelson,6612108,6612108,nzl,Region,,9
2,2186224,Northland,2185978,2185978,nzl,Region,,10
2,2186224,Otago,6612109,6612109,nzl,Region,,11
2,2186224,Southland,2182501,2182501,nzl,Region,,12
2,2186224,Taranaki,2181872,2181872,nzl,Region,,13
2,2186224,Tasman,2181818,2181818,nzl,Region,,14
2,2186224,Waikato,2180293,2180293,nzl,Region,,15
2,2186224,Greater Wellington Region,2179538,2179538,nzl,Region,,16
2,2186224,West Coast,6612113,6612113,nzl,Region,,17
3,2193734,Auckland,2193732,2193732,nzl,District,,
3,2182560,Kawerau District,2188943,2188943,nzl,District,,
3,2182560,Opotiki District,2185506,2185506,nzl,District,,
3,2182560,Rotorua District,2183229,2183229,nzl,District,,
3,2182560,Tauranga City,7910066,7910066,nzl,District,,
3,2182560,Western Bay of Plenty,7910073,7910073,nzl,District,,
3,2182560,Whakatane District,2179374,2179374,nzl,District,,
3,2192628,Ashburton District,2193772,2193772,nzl,District,,
3,2192628,Christchurch City,7910036,7910036,nzl,District,,
3,2192628,Hurunui District,7910044,7910044,nzl,District,,
3,2192628,Kaikoura District,7910046,7910046,nzl,District,,
3,2192628,Mackenzie District,7910050,7910050,nzl,District,,
3,2192628,Selwyn District,7910060,7910060,nzl,District,,
3,2192628,Timaru District,2181134,2181134,nzl,District,,
3,2192628,Waimakariri District,7910069,7910069,nzl,District,,
3,2192628,Waimate District,2180177,2180177,nzl,District,,
3,2192628,Waitaki District,11694798,11694798,nzl,District,,
3,2190767,Gisborne,2190766,2190766,nzl,District,,
3,2190146,Central Hawke's Bay,7910034,7910034,nzl,District,,
3,2190146,Hastings District,2190223,2190223,nzl,District,,
3,2190146,Napier City,7910054,7910054,nzl,District,,
3,2190146,Wairoa District,2179921,2179921,nzl,District,,
3,2179671,Horowhenua District,7910043,7910043,nzl,District,,
3,2179671,Manawatu District,7910051,7910051,nzl,District,,
3,2179671,Palmerston North City,7910056,7910056,nzl,District,,
3,2179671,Rangitikei District,2183713,2183713,nzl,District,,
3,2179671,Ruapehu District,7910059,7910059,nzl,District,,
3,2179671,Tararua District,11694796,11694796,nzl,District,,
3,2179671,Whanganui,7910071,7910071,nzl,District,,
3,2187304,Marlborough District,7910052,7910052,nzl,District,,
3,6612108,Nelson City,7910055,7910055,nzl,District,,
3,2185978,Far North,7910039,7910039,nzl,District,,
3,2185978,Kaipara District,7910047,7910047,nzl,District,,
3,2185978,Whangārei,2179291,2179291,nzl,District,,
3,6612109,Central Otago,7910035,7910035,nzl,District,,
3,6612109,Clutha District,7910037,7910037,nzl,District,,
3,6612109,Dunedin,7910038,7910038,nzl,District,,
3,6612109,Queenstown-Lakes,7910058,7910058,nzl,District,,
3,2182501,Gore District,2190612,2190612,nzl,District,,
3,2182501,Invercargill,7910045,7910045,nzl,District,,
3,2182501,Southland District,7910061,7910061,nzl,District,,
3,2181872,New Plymouth,2186240,2186240,nzl,District,,
3,2181872,South Taranaki,7910062,7910062,nzl,District,,
3,2181872,Stratford,2182236,2182236,nzl,District,,
3,2180293,Hamilton City,7910041,7910041,nzl,District,,
3,2180293,Hauraki District,7910042,7910042,nzl,District,,
3,2180293,Matamata-Piako District,7910053,7910053,nzl,District,,
3,2180293,Otorohanga District,2185244,2185244,nzl,District,,
3,2180293,South Waikato District,7910063,7910063,nzl,District,,
3,2180293,Taupo District,2181743,2181743,nzl,District,,
3,2180293,Thames-Coromandel,2181244,2181244,nzl,District,,
3,2180293,Waikato District,7910068,7910068,nzl,District,,
3,2180293,Waipa District,7910070,7910070,nzl,District,,
3,2180293,Waitomo District,2179779,2179779,nzl,District,,
3,2179538,Carterton,2192570,2192570,nzl,District,,
3,2179538,Kapiti Coast,7910048,7910048,nzl,District,,
3,2179538,Lower Hutt City,7910049,7910049,nzl,District,,
3,2179538,Masterton,2187238,2187238,nzl,District,,
3,2179538,Porirua City,7910057,7910057,nzl,District,,
3,2179538,South Wairarapa,7910064,7910064,nzl,District,,
3,2179538,Upper Hutt City,7910067,7910067,nzl,District,,
3,2179538,Pōneke AKA Wellington,7910072,7910072,nzl,District,,
3,6612113,Buller District,7910033,7910033,nzl,District,,
3,6612113,Grey District,7910040,7910040,nzl,District,,
3,6612113,Westland District,2179466,2179466,nzl,District,,
3,2181818,Tasman District,7910065,7910065,nzl,District,,